KOSCOM_COM_CODE	TYPE	COMP_NAME_K	CRED_GRADE_TRADE_DATE	APPLY_GRADE	KIS_CRD_ESTI_DATE		NICE_CRD_ESTI_DATE	NICE_CRD_ESTI_GRADE	KR_CRD_ESTI_DATE	KR_CRD_ESTI_GRADE
11987       전자단기사채  현대커머셜                                                    20201209  110         20201209  110         20201209  110         20200625  110         
11987       CP            현대커머셜                                                    20200625  110         20200624  110         20200525  110         20200625  110         
11987       전자단기사채  현대커머셜                                                    20200625  110         20200624  110         20200525  110         20200625  110         
11987       CP            현대커머셜                                                    20200525  110         20191128  110         20200525  110         20191128  110         
11987       전자단기사채  현대커머셜                                                    20200525  110         20191128  110         20200525  110         00000000  0           
11987       CP            현대커머셜                                                    20191128  110         20191128  110         20191122  110         20191128  110         
11987       전자단기사채  현대커머셜                                                    20191128  110         20191128  110         20191122  110         00000000  0           
11987       CP            현대커머셜                                                    20191122  110         20190523  110         20191122  110         20190522  110         
11987       전자단기사채  현대커머셜                                                    20191122  110         20190523  110         20191122  110         00000000  0           
11987       CP            현대커머셜                                                    20190524  110         20190523  110         20190524  110         20190522  110         
11987       전자단기사채  현대커머셜                                                    20190524  110         20190523  110         20190524  110         00000000  0           
11987       전자단기사채  현대커머셜                                                    20190523  110         20190523  110         20181228  110         00000000  0           
11987       CP            현대커머셜                                                    20190522  110         20181126  110         20181228  110         20190522  110         
11987       CP            현대커머셜                                                    20181228  110         20181126  110         20181228  110         20180905  110         
11987       전자단기사채  현대커머셜                                                    20181228  110         20181126  110         20181228  110         00000000  0           
11987       CP            현대커머셜                                                    20181126  110         20181126  110         20180629  110         20180905  110         
11987       전자단기사채  현대커머셜                                                    20181126  110         20181126  110         20180629  110         00000000  0           
11987       CP            현대커머셜                                                    20180905  110         20180525  110         20180629  110         20180905  110         
11987       CP            현대커머셜                                                    20180629  110         20180525  110         20180629  110         20180525  110         
11987       전자단기사채  현대커머셜                                                    20180629  110         20180525  110         20180629  110         00000000  0           
11987       CP            현대커머셜                                                    20180525  110         20180525  110         20171213  110         20180525  110         
11987       전자단기사채  현대커머셜                                                    20180525  110         20180525  110         20171213  110         00000000  0           
11987       CP            현대커머셜                                                    20171213  110         20171213  110         20171213  110         20170913  110         
11987       전자단기사채  현대커머셜                                                    20171213  110         20171213  110         20171213  110         00000000  0           
11987       CP            현대커머셜                                                    20170913  110         20170612  110         20170614  110         20170913  110         
11987       CP            현대커머셜                                                    20170614  110         20170612  110         20170614  110         20170512  110         
11987       전자단기사채  현대커머셜                                                    20170614  110         20170612  110         20170614  110         00000000  0           
11987       CP            현대커머셜                                                    20170612  110         20170612  110         20161125  110         20170512  110         
11987       CP            현대커머셜                                                    20170512  110         20161125  110         20161125  110         20170512  110         

12072       CP            주택금융공사SLBS2007-1(1-8)20y                                20181221  110         00000000  0           00000000  0           20181221  110         

12074       CP            레드캡투어(구 미디어솔루션)                                   20201224  130         00000000  0           20201224  130         20201223  130         
12074       CP            레드캡투어(구 미디어솔루션)                                   20200629  130         00000000  0           20200629  130         20200629  130         
12074       CP            레드캡투어(구 미디어솔루션)                                   20191218  130         00000000  0           20191213  130         20191218  110         
12074       CP            레드캡투어(구 미디어솔루션)                                   20191213  130         00000000  0           20191213  130         20190628  130         
12074       CP            레드캡투어(구 미디어솔루션)                                   20190628  130         00000000  0           20190627  130         20190628  130         
12074       CP            레드캡투어(구 미디어솔루션)                                   20190627  130         00000000  0           20190627  130         20190523  110         
12074       CP            레드캡투어(구 미디어솔루션)                                   20190524  110         00000000  0           20190524  110         20190523  110         
12074       CP            레드캡투어(구 미디어솔루션)                                   20190523  130         00000000  0           20181221  130         20190523  110         
12074       CP            레드캡투어(구 미디어솔루션)                                   20181221  130         00000000  0           20181221  130         20181221  110         
12074       CP            레드캡투어(구 미디어솔루션)                                   20180626  130         00000000  0           20180615  130         20180626  130         
12074       CP            레드캡투어(구 미디어솔루션)                                   20180615  130         00000000  0           20180615  130         20180523  110         
12074       CP            레드캡투어(구 미디어솔루션)                                   20180524  110         00000000  0           20180524  110         20180523  110         
12074       CP            레드캡투어(구 미디어솔루션)                                   20180523  130         00000000  0           20171229  130         20180523  110         
12074       CP            레드캡투어(구 미디어솔루션)                                   20171229  130         00000000  0           20171229  130         20171222  130         
12074       CP            레드캡투어(구 미디어솔루션)                                   20171222  130         00000000  0           20170310  130         20171222  130         
12074       CP            레드캡투어(구 미디어솔루션)                                   20170310  130         00000000  0           20170310  130         20170310  130         

12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20221220  110         20221220  110         00000000  0           20221220  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20220627  110         20220627  110         00000000  0           20220613  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20220613  110         20211213  110         00000000  0           20220613  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20211217  110         20211213  110         00000000  0           20211217  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20211213  110         20211213  110         00000000  0           20210611  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20210617  110         20210617  110         00000000  0           20210611  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20210611  110         20200909  110         00000000  0           20210611  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20200909  110         20200909  110         00000000  0           20200909  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20200616  110         20200616  110         00000000  0           20200616  110         
12160       CP            씨제이헬로(구 씨제이헬로비전,씨제이케이블넷)                  20191226  110         20191219  110         00000000  0           20191226  110         
12160       CP            씨제이헬로(구 씨제이헬로비전,씨제이케이블넷)                  20191219  110         20191219  110         00000000  0           20190613  110         
12160       CP            씨제이헬로(구 씨제이헬로비전,씨제이케이블넷)                  20190613  110         20190613  110         00000000  0           20190613  110         
12160       CP            씨제이헬로(구 씨제이헬로비전,씨제이케이블넷)                  20181210  110         20181210  110         00000000  0           20181129  110         
12160       CP            씨제이헬로(구 씨제이헬로비전,씨제이케이블넷)                  20181129  110         20180626  110         00000000  0           20181129  110         
12160       CP            씨제이헬로(구 씨제이헬로비전,씨제이케이블넷)                  20180626  110         20180626  110         00000000  0           20180626  110         
12160       CP            씨제이헬로비전(구 씨제이케이블넷)                             20170915  110         20170915  110         00000000  0           20170915  110         
12160       CP            씨제이헬로비전(구 씨제이케이블넷)                             20170613  110         20170613  110         00000000  0           20170613  110         

12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20221220  110         20221220  110         00000000  0           20221220  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20220627  110         20220627  110         00000000  0           20220613  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20220613  110         20211213  110         00000000  0           20220613  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20211217  110         20211213  110         00000000  0           20211217  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20211213  110         20211213  110         00000000  0           20210611  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20210617  110         20210617  110         00000000  0           20210611  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20210611  110         20200909  110         00000000  0           20210611  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20200909  110         20200909  110         00000000  0           20200909  110         
12160       CP            LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)                  20200616  110         20200616  110         00000000  0           20200616  110         
12160       CP            씨제이헬로(구 씨제이헬로비전,씨제이케이블넷)                  20191226  110         20191219  110         00000000  0           20191226  110         
